orphan,tweet_time,genuine_tweet,is_follower,has_mention,favorite_count,original_is_question,rt_count,resonance_Factor,reply_is_answer,hours_to_answer,tweet_weekday,auto_tweet,id_str,follower_local,screen_name,created_at,has_url,has_media,is_reply,has_hashtag,tweet_month
NA,14,1,NA,0,0,NA,0,0.0,NA,NA,3,1,7986854882,NA,ub_oldenburg,Wed Jan 20 14:21:08 +0000 2010,0,0,0,0,1
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,3,1,7708541756,NA,ub_oldenburg,Wed Jan 13 13:53:21 +0000 2010,0,0,0,0,1
NA,15,1,NA,0,0,NA,0,0.0,NA,NA,2,1,7406373751,NA,ub_oldenburg,Tue Jan 05 15:37:02 +0000 2010,0,0,0,0,1
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,1,1,6658446261,NA,ub_oldenburg,Mon Dec 14 10:52:39 +0000 2009,0,0,0,0,12
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,2,1,6235094101,NA,ub_oldenburg,Tue Dec 01 13:43:31 +0000 2009,0,0,0,0,12
NA,13,1,NA,0,1,NA,0,0.5,NA,NA,5,1,5889132442,NA,ub_oldenburg,Fri Nov 20 13:43:01 +0000 2009,0,0,0,0,11
NA,09,1,NA,0,0,NA,0,0.0,NA,NA,4,1,5645262192,NA,ub_oldenburg,Thu Nov 12 09:34:12 +0000 2009,0,0,0,0,11
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,1,1,5169863386,NA,ub_oldenburg,Mon Oct 26 10:20:37 +0000 2009,0,0,0,0,10
NA,10,1,NA,0,0,NA,0,0.0,NA,NA,5,1,4912461757,NA,ub_oldenburg,Fri Oct 16 10:01:24 +0000 2009,0,0,0,0,10
NA,06,1,NA,0,0,NA,0,0.0,NA,NA,4,1,4883449012,NA,ub_oldenburg,Thu Oct 15 06:59:08 +0000 2009,0,0,0,0,10
NA,12,1,NA,0,0,NA,0,0.0,NA,NA,2,1,4833589409,NA,ub_oldenburg,Tue Oct 13 12:26:07 +0000 2009,0,0,0,0,10
NA,11,1,NA,0,0,NA,0,0.0,NA,NA,2,1,4652657290,NA,ub_oldenburg,Tue Oct 06 11:07:48 +0000 2009,0,0,0,0,10
NA,06,1,NA,0,0,NA,0,0.0,NA,NA,5,1,4547266101,NA,ub_oldenburg,Fri Oct 02 06:49:19 +0000 2009,0,0,0,0,10
NA,13,1,NA,0,0,NA,0,0.0,NA,NA,1,1,4442357955,NA,ub_oldenburg,Mon Sep 28 13:22:10 +0000 2009,0,0,0,0,9
NA,06,1,NA,0,0,NA,0,0.0,NA,NA,3,1,4024446656,NA,ub_oldenburg,Wed Sep 16 06:54:06 +0000 2009,0,0,0,0,9
NA,07,1,NA,0,0,NA,0,0.0,NA,NA,5,1,3752337232,NA,ub_oldenburg,Fri Sep 04 07:05:41 +0000 2009,0,0,0,0,9
NA,08,1,NA,0,0,NA,0,0.0,NA,NA,4,0,2027467541,NA,ub_oldenburg,Thu Jun 04 08:53:55 +0000 2009,0,0,0,0,6
NA,15,1,NA,0,0,NA,0,0.0,NA,NA,4,0,1795604909,NA,ub_oldenburg,Thu May 14 15:03:38 +0000 2009,0,0,0,0,5
